City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
309,Tazovskiy,RU,67.4667,78.7,41.38,100,100,7.49,overcast clouds
310,Beidao,CN,34.5686,105.8933,54.34,83,100,5.12,overcast clouds
311,Labuan,MY,5.2767,115.2417,82.76,89,20,0.0,few clouds
312,Ugoofaaru,MV,5.6667,73.0,83.12,75,100,18.1,light rain
313,Kelo,TD,9.3086,15.8066,87.96,46,99,4.88,light rain
314,Diamantino,BR,-14.4086,-56.4461,89.96,41,19,2.53,few clouds
315,Surskoye,RU,54.4821,46.7214,53.96,85,100,6.89,light rain
316,Tezu,IN,27.9167,96.1667,71.29,98,100,4.27,overcast clouds
317,Venado,MX,22.9333,-101.0833,64.8,56,75,2.19,broken clouds
318,Stetseva,UA,48.5277,25.5757,65.39,53,7,16.91,clear sky
319,Komsomolskiy,UZ,40.4272,71.7189,68.72,60,98,4.61,overcast clouds
320,Sakakah,SA,29.9697,40.2064,103.57,7,0,15.43,clear sky
321,Nanortalik,GL,60.1432,-45.2371,31.1,74,53,11.3,broken clouds
322,Yibin,CN,28.7667,104.6238,55.24,94,94,3.4,overcast clouds
323,Ostashkov,RU,57.1467,33.1075,54.16,61,90,9.64,light rain
324,Pauini,BR,-7.7136,-66.9764,80.15,89,100,3.02,overcast clouds
325,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.94,77,100,2.06,overcast clouds
326,Dezhou,CN,37.4486,116.2925,65.75,18,1,8.43,clear sky
327,Bubaque,GW,11.2833,-15.8333,78.94,79,90,6.6,overcast clouds
328,Banjar,ID,-8.19,114.9675,78.03,86,64,4.03,broken clouds
329,Carupano,VE,10.6678,-63.2585,83.52,65,65,8.93,broken clouds
330,Sabang,ID,5.8933,95.3214,84.97,74,89,17.98,overcast clouds
331,Hasaki,JP,35.7333,140.8333,63.0,68,100,9.1,moderate rain
332,College,US,64.8569,-147.8028,37.9,70,40,6.91,scattered clouds
333,Fort Wellington,GY,6.4,-57.6,79.93,88,100,5.7,overcast clouds
334,Wanaka,NZ,-44.7,169.15,45.1,90,93,0.83,overcast clouds
335,Castro-Urdiales,ES,43.3829,-3.2204,84.49,71,7,7.85,clear sky
336,Odweyne,SO,9.4092,45.064,91.83,14,11,2.3,few clouds
337,Malumfashi,NG,11.7853,7.6218,100.26,8,91,13.44,overcast clouds
338,Isangel,VU,-19.55,169.2667,74.75,80,63,10.65,broken clouds
339,Rincon,US,32.296,-81.2354,81.86,73,75,5.75,broken clouds
340,Vostok,RU,46.4856,135.8833,38.12,86,14,9.37,few clouds
341,Balabac,PH,7.9868,117.0645,82.26,82,53,6.78,broken clouds
342,Marau,BR,-28.4492,-52.2,60.75,97,100,5.3,overcast clouds
343,Tokat,TR,40.4167,36.5833,55.45,62,100,9.28,light rain
344,Egvekinot,RU,66.3167,-179.1667,27.23,87,100,7.0,overcast clouds
345,Nishihara,JP,26.1842,127.7558,67.68,83,100,10.36,overcast clouds
346,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,78,20,5.75,few clouds
